estimator,horizon,batch_size,seed,num_seeds,good_success_probability,bad_success_probability,num_distractor_actions,mean_abs_distractor_credit,total_abs_distractor_credit_per_episode,leakage_ratio
oracle_advantage,2,1000,0,10,0.8,0.2,2,0,0,0
outcome_broadcast,2,1000,0,10,0.8,0.2,2,0.5,0.5,0.499999999995
batch_centered_broadcast,2,1000,0,10,0.8,0.2,2,0.5005005005,0.5005005005,0.499999999995
grpo_style_normalized,2,1000,0,10,0.8,0.2,2,0.999800039992,0.999800039992,0.499999999998
gigpo_style,2,1000,0,10,0.8,0.2,2,1.81831000089,1.81831000089,0.476257942793
oracle_advantage,2,1000,1,10,0.8,0.2,2,0,0,0
outcome_broadcast,2,1000,1,10,0.8,0.2,2,0.51,0.51,0.499999999995
batch_centered_broadcast,2,1000,1,10,0.8,0.2,2,0.5003003003,0.5003003003,0.499999999995
grpo_style_normalized,2,1000,1,10,0.8,0.2,2,0.999600019996,0.999600019996,0.499999999998
gigpo_style,2,1000,1,10,0.8,0.2,2,1.80756815246,1.80756815246,0.474830108132
oracle_advantage,2,1000,2,10,0.8,0.2,2,0,0,0
outcome_broadcast,2,1000,2,10,0.8,0.2,2,0.504,0.504,0.499999999995
batch_centered_broadcast,2,1000,2,10,0.8,0.2,2,0.500468468468,0.500468468468,0.499999999995
grpo_style_normalized,2,1000,2,10,0.8,0.2,2,0.999768039481,0.999768039481,0.499999999997
gigpo_style,2,1000,2,10,0.8,0.2,2,1.77777203301,1.77777203301,0.470645226788
oracle_advantage,2,1000,3,10,0.8,0.2,2,0,0,0
outcome_broadcast,2,1000,3,10,0.8,0.2,2,0.489,0.489,0.499999999995
batch_centered_broadcast,2,1000,3,10,0.8,0.2,2,0.500258258258,0.500258258258,0.499999999995
grpo_style_normalized,2,1000,3,10,0.8,0.2,2,0.999558010713,0.999558010713,0.499999999998
gigpo_style,2,1000,3,10,0.8,0.2,2,1.80367311781,1.80367311781,0.474302689885
oracle_advantage,2,1000,4,10,0.8,0.2,2,0,0,0
outcome_broadcast,2,1000,4,10,0.8,0.2,2,0.505,0.505,0.499999999995
batch_centered_broadcast,2,1000,4,10,0.8,0.2,2,0.50045045045,0.50045045045,0.499999999995
grpo_style_normalized,2,1000,4,10,0.8,0.2,2,0.999750038744,0.999750038744,0.499999999998
gigpo_style,2,1000,4,10,0.8,0.2,2,1.82667795077,1.82667795077,0.477415827824
oracle_advantage,2,1000,5,10,0.8,0.2,2,0,0,0
outcome_broadcast,2,1000,5,10,0.8,0.2,2,0.5,0.5,0.499999999995
batch_centered_broadcast,2,1000,5,10,0.8,0.2,2,0.5005005005,0.5005005005,0.499999999995
grpo_style_normalized,2,1000,5,10,0.8,0.2,2,0.999800039992,0.999800039992,0.499999999998
gigpo_style,2,1000,5,10,0.8,0.2,2,1.79192817315,1.79192817315,0.472613693874
oracle_advantage,2,1000,6,10,0.8,0.2,2,0,0,0
outcome_broadcast,2,1000,6,10,0.8,0.2,2,0.487,0.487,0.499999999995
batch_centered_broadcast,2,1000,6,10,0.8,0.2,2,0.500162162162,0.500162162162,0.499999999995
grpo_style_normalized,2,1000,6,10,0.8,0.2,2,0.999461982864,0.999461982864,0.499999999997
gigpo_style,2,1000,6,10,0.8,0.2,2,1.80307721435,1.80307721435,0.474244254261
oracle_advantage,2,1000,7,10,0.8,0.2,2,0,0,0
outcome_broadcast,2,1000,7,10,0.8,0.2,2,0.511,0.511,0.499999999995
batch_centered_broadcast,2,1000,7,10,0.8,0.2,2,0.500258258258,0.500258258258,0.499999999995
grpo_style_normalized,2,1000,7,10,0.8,0.2,2,0.999558010713,0.999558010713,0.499999999998
gigpo_style,2,1000,7,10,0.8,0.2,2,1.80658982247,1.80658982247,0.47470558592
oracle_advantage,2,1000,8,10,0.8,0.2,2,0,0,0
outcome_broadcast,2,1000,8,10,0.8,0.2,2,0.484,0.484,0.499999999995
batch_centered_broadcast,2,1000,8,10,0.8,0.2,2,0.499987987988,0.499987987988,0.499999999995
grpo_style_normalized,2,1000,8,10,0.8,0.2,2,0.999287908873,0.999287908873,0.499999999998
gigpo_style,2,1000,8,10,0.8,0.2,2,1.7816543025,1.7816543025,0.471308424572
oracle_advantage,2,1000,9,10,0.8,0.2,2,0,0,0
outcome_broadcast,2,1000,9,10,0.8,0.2,2,0.488,0.488,0.499999999995
batch_centered_broadcast,2,1000,9,10,0.8,0.2,2,0.500212212212,0.500212212212,0.499999999995
grpo_style_normalized,2,1000,9,10,0.8,0.2,2,0.99951199852,0.99951199852,0.499999999997
gigpo_style,2,1000,9,10,0.8,0.2,2,1.78524772066,1.78524772066,0.471754634401
oracle_advantage,4,1000,0,10,0.8,0.2,2,0,0,0
outcome_broadcast,4,1000,0,10,0.8,0.2,2,0.492,1.476,0.749999999996
batch_centered_broadcast,4,1000,0,10,0.8,0.2,2,0.500372372372,1.50111711712,0.749999999996
grpo_style_normalized,4,1000,0,10,0.8,0.2,2,0.999672031804,2.99901609541,0.749999999998
gigpo_style,4,1000,0,10,0.8,0.2,2,1.77511207757,5.32533623272,0.727040091481
oracle_advantage,4,1000,1,10,0.8,0.2,2,0,0,0
outcome_broadcast,4,1000,1,10,0.8,0.2,2,0.501,1.503,0.749999999996
batch_centered_broadcast,4,1000,1,10,0.8,0.2,2,0.500498498498,1.5014954955,0.749999999996
