estimator,batch_size,seed,num_seeds,recover_success_probability,num_recovered,num_all_good,num_all_bad,mean_credit_bad_on_recovered,mean_credit_recover_on_recovered,both_positive_fraction_on_recovered,mean_credit_all_bad,mean_credit_all_good,batch_gradient_cosine,batch_gradient_relative_error
oracle_advantage,2000,0,30,1,498,990,1010,-0.25,0.5,0,-0.25,0.25,0.999987624298,0.00707106781187
outcome_broadcast,2000,0,30,1,498,990,1010,1,1,1,0.493069306931,1,0.999981635033,0.0116619037897
batch_centered_broadcast,2000,0,30,1,498,990,1010,0.256128064032,0.256128064032,1,-0.25105622118,0.256128064032,0.99999885563,0.0158784436877
grpo_style_normalized,2000,0,30,1,498,990,1010,0.586454082274,0.586454082274,1,-0.57484113015,0.586454082274,0.99999885563,1.32588155944
gigpo_style,2000,0,30,1,498,990,1010,1.17290816455,1.60021011243,1,-1.1496822603,1.17290816455,0.999459116731,3.49988590411
oracle_advantage,2000,1,30,1,483,988,1012,-0.25,0.5,0,-0.25,0.25,0.999982214546,0.00848528137424
outcome_broadcast,2000,1,30,1,483,988,1012,1,1,1,0.477272727273,1,0.999752177912,0.0250599281723
batch_centered_broadcast,2000,1,30,1,483,988,1012,0.264632316158,0.264632316158,1,-0.258356450953,0.264632316158,0.999984331766,0.0404264130526
grpo_style_normalized,2000,1,30,1,483,988,1012,0.599546740469,0.599546740469,1,-0.585328240695,0.599546740469,0.999984331766,1.35628282894
gigpo_style,2000,1,30,1,483,988,1012,1.19909348094,1.64587349554,1,-1.17065648139,1.19909348094,0.99915584274,3.55660168451
oracle_advantage,2000,2,30,1,475,1011,989,-0.25,0.5,0,-0.25,0.25,0.999984707593,0.00777817459305
outcome_broadcast,2000,2,30,1,475,1011,989,1,1,1,0.480283114257,1,0.998184720261,0.0619838688692
batch_centered_broadcast,2000,2,30,1,475,1011,989,0.257128564282,0.257128564282,1,-0.262848309898,0.257128564282,0.999882744649,0.0287906614193
grpo_style_normalized,2000,2,30,1,475,1011,989,0.587993845798,0.587993845798,1,-0.601073587565,0.587993845798,0.999882744649,1.34245872645
gigpo_style,2000,2,30,1,475,1011,989,1.1759876916,1.62802856356,1,-1.20214717513,1.1759876916,0.998630333915,3.52689171921
oracle_advantage,2000,3,30,1,512,1015,985,-0.25,0.5,0,-0.25,0.25,0.999971449554,0.0106066017178
outcome_broadcast,2000,3,30,1,512,1015,985,1,1,1,0.519796954315,1,0.999960690517,0.0174928556845
batch_centered_broadcast,2000,3,30,1,512,1015,985,0.236618309155,0.236618309155,1,-0.243824958164,0.236618309155,0.999997553878,0.0372610049501
grpo_style_normalized,2000,3,30,1,512,1015,985,0.556427852323,0.556427852323,1,-0.573374893511,0.556427852323,0.999997553878,1.26411485056
gigpo_style,2000,3,30,1,512,1015,985,1.11285570465,1.51739528921,1,-1.14674978702,1.11285570465,0.99948529257,3.38060543829
oracle_advantage,2000,4,30,1,511,998,1002,-0.25,0.5,0,-0.25,0.25,0.999999500999,0.00141421356237
outcome_broadcast,2000,4,30,1,511,998,1002,1,1,1,0.50998003992,1,0.999710969891,0.0240831891576
batch_centered_broadcast,2000,4,30,1,511,998,1002,0.245622811406,0.245622811406,1,-0.24464228122,0.245622811406,0.999982143619,0.0148031728742
grpo_style_normalized,2000,4,30,1,511,998,1002,0.570289307704,0.570289307704,1,-0.568012703681,0.570289307704,0.999982143619,1.2903544513
gigpo_style,2000,4,30,1,511,998,1002,1.14057861541,1.55032846563,1,-1.13602540736,1.14057861541,0.999614733994,3.43238428328
oracle_advantage,2000,5,30,1,557,946,1054,-0.25,0.5,0,-0.25,0.25,0.99965459264,0.0381837661841
outcome_broadcast,2000,5,30,1,557,946,1054,1,1,1,0.528462998102,1,0.984594378014,0.176465294038
batch_centered_broadcast,2000,5,30,1,557,946,1054,0.248624312156,0.248624312156,1,-0.223148576186,0.248624312156,0.999097667564,0.04526233373
grpo_style_normalized,2000,5,30,1,557,946,1054,0.574907822443,0.574907822443,1,-0.51599886151,0.574907822443,0.999097667564,1.27569723164
gigpo_style,2000,5,30,1,557,946,1054,1.14981564489,1.51932440821,1,-1.03199772302,1.14981564489,0.999904619719,3.41238556398
oracle_advantage,2000,6,30,1,521,974,1026,-0.25,0.5,0,-0.25,0.25,0.999917665059,0.0183847763108
outcome_broadcast,2000,6,30,1,521,974,1026,1,1,1,0.507797270955,1,0.997571792279,0.0728010988928
batch_centered_broadcast,2000,6,30,1,521,974,1026,0.252626313157,0.252626313157,1,-0.239822640365,0.252626313157,0.999852895926,0.0172364155133
grpo_style_normalized,2000,6,30,1,521,974,1026,0.581065565132,0.581065565132,1,-0.55161584838,0.581065565132,0.999852895926,1.30394269679
gigpo_style,2000,6,30,1,521,974,1026,1.16213113026,1.56539385411,1,-1.10323169676,1.16213113026,0.999888125767,3.46157300858
oracle_advantage,2000,7,30,1,522,1010,990,-0.25,0.5,0,-0.25,0.25,0.999987374295,0.00707106781186
outcome_broadcast,2000,7,30,1,522,1010,990,1,1,1,0.527272727273,1,0.999433870001,0.0354400902933
batch_centered_broadcast,2000,7,30,1,522,1010,990,0.234117058529,0.234117058529,1,-0.238846696075,0.234117058529,0.999965177247,0.0468877137434
grpo_style_normalized,2000,7,30,1,522,1010,990,0.552574674034,0.552574674034,1,-0.563737798762,0.552574674034,0.999965177247,1.25133026852
gigpo_style,2000,7,30,1,522,1010,990,1.10514934807,1.49924920979,1,-1.12747559752,1.10514934807,0.999686543723,3.35749083745
oracle_advantage,2000,8,30,1,493,1016,984,-0.25,0.5,0,-0.25,0.25,0.999967483376,0.011313708499
outcome_broadcast,2000,8,30,1,493,1016,984,1,1,1,0.501016260163,1,0.999564346485,0.034
batch_centered_broadcast,2000,8,30,1,493,1016,984,0.245622811406,0.245622811406,1,-0.25361054511,0.245622811406,0.999972348244,0.0117540953807
grpo_style_normalized,2000,8,30,1,493,1016,984,0.570289307704,0.570289307704,1,-0.58883530145,0.570289307704,0.999972348244,1.30065959463
gigpo_style,2000,8,30,1,493,1016,984,1.14057861541,1.56805929435,1,-1.1776706029,1.14057861541,0.999066339646,3.44853272752
oracle_advantage,2000,9,30,1,523,981,1019,-0.25,0.5,0,-0.25,0.25,0.999955723251,0.0134350288425
