horizon,stop_rewards,continue_reward,batch_size,stop_probability,estimator,num_seeds,timestep,credit_bias,credit_variance,step_count
3,0|2|1,0,2,0.2,oracle_advantage,200,0,0,0.236799,400
3,0|2|1,0,2,0.2,oracle_advantage,200,1,0,0.153449631303,317
3,0|2|1,0,2,0.2,oracle_advantage,200,2,0,0,257
3,0|2|1,0,2,0.2,batch_centered_broadcast,200,0,0.009,0.665,400
3,0|2|1,0,2,0.2,batch_centered_broadcast,200,1,0.23785488959,0.490999014818,317
3,0|2|1,0,2,0.2,batch_centered_broadcast,200,2,0.0428015564202,0.344471528714,257
3,0|2|1,0,2,0.2,turn_loo,200,0,0.009,0.665,400
3,0|2|1,0,2,0.2,turn_loo,200,1,0.23785488959,0.490999014818,317
3,0|2|1,0,2,0.2,turn_loo,200,2,0.346303501946,0.226377386486,257
3,0|2|1,0,2,0.35,oracle_advantage,200,0,0,0.421168359375,400
3,0|2|1,0,2,0.35,oracle_advantage,200,1,0,0.207612456747,255
3,0|2|1,0,2,0.35,oracle_advantage,200,2,0,0,180
3,0|2|1,0,2,0.35,batch_centered_broadcast,200,0,0.016875,1.14,400
3,0|2|1,0,2,0.35,batch_centered_broadcast,200,1,0.56568627451,0.759707804691,255
3,0|2|1,0,2,0.35,batch_centered_broadcast,200,2,0.177777777778,0.501728395062,180
3,0|2|1,0,2,0.35,turn_loo,200,0,0.016875,1.14,400
3,0|2|1,0,2,0.35,turn_loo,200,1,0.56568627451,0.759707804691,255
3,0|2|1,0,2,0.35,turn_loo,200,2,0.533333333333,0.248888888889,180
3,0|2|1,0,2,0.5,oracle_advantage,200,0,0,0.5621484375,400
3,0|2|1,0,2,0.5,oracle_advantage,200,1,0,0.240999342538,195
3,0|2|1,0,2,0.5,oracle_advantage,200,2,0,0,116
3,0|2|1,0,2,0.5,batch_centered_broadcast,200,0,0.01875,1.35,400
3,0|2|1,0,2,0.5,batch_centered_broadcast,200,1,0.874358974359,0.900092044707,195
3,0|2|1,0,2,0.5,batch_centered_broadcast,200,2,0.293103448276,0.620986920333,116
3,0|2|1,0,2,0.5,turn_loo,200,0,0.01875,1.35,400
3,0|2|1,0,2,0.5,turn_loo,200,1,0.874358974359,0.900092044707,195
3,0|2|1,0,2,0.5,turn_loo,200,2,0.706896551724,0.207193816885,116
3,0|2|1,0,2,0.65,oracle_advantage,200,0,0,0.6152169375,400
3,0|2|1,0,2,0.65,oracle_advantage,200,1,0,0.239708044528,138
3,0|2|1,0,2,0.65,oracle_advantage,200,2,0,0,55
3,0|2|1,0,2,0.65,batch_centered_broadcast,200,0,0.00825,1.435,400
3,0|2|1,0,2,0.65,batch_centered_broadcast,200,1,1.17898550725,0.881537492124,138
3,0|2|1,0,2,0.65,batch_centered_broadcast,200,2,0.454545454545,0.647933884298,55
3,0|2|1,0,2,0.65,turn_loo,200,0,0.00825,1.435,400
3,0|2|1,0,2,0.65,turn_loo,200,1,1.17898550725,0.881537492124,138
3,0|2|1,0,2,0.65,turn_loo,200,2,0.854545454545,0.124297520661,55
3,0|2|1,0,2,0.8,oracle_advantage,200,0,0,0.546831,400
3,0|2|1,0,2,0.8,oracle_advantage,200,1,0,0.178474851271,86
3,0|2|1,0,2,0.8,oracle_advantage,200,2,0,0,20
3,0|2|1,0,2,0.8,batch_centered_broadcast,200,0,-0.027,1.16,400
3,0|2|1,0,2,0.8,batch_centered_broadcast,200,1,1.46279069767,0.686992969173,86
3,0|2|1,0,2,0.8,batch_centered_broadcast,200,2,0.7,0.51,20
3,0|2|1,0,2,0.8,turn_loo,200,0,-0.027,1.16,400
3,0|2|1,0,2,0.8,turn_loo,200,1,1.46279069767,0.686992969173,86
3,0|2|1,0,2,0.8,turn_loo,200,2,1,0,20
3,0|2|1,0,4,0.2,oracle_advantage,200,0,0,0.23993775,800
3,0|2|1,0,4,0.2,oracle_advantage,200,1,0,0.157895926522,631
3,0|2|1,0,4,0.2,oracle_advantage,200,2,0,0,507
3,0|2|1,0,4,0.2,batch_centered_broadcast,200,0,0.0135,0.463888888889,800
3,0|2|1,0,4,0.2,batch_centered_broadcast,200,1,0.248071843634,0.273511357354,631
3,0|2|1,0,4,0.2,batch_centered_broadcast,200,2,0.0598290598291,0.132076850026,507
3,0|2|1,0,4,0.2,turn_loo,200,0,0.0135,0.463888888889,800
3,0|2|1,0,4,0.2,turn_loo,200,1,0.0193343898574,0.23720262239,631
3,0|2|1,0,4,0.2,turn_loo,200,2,0.0473372781065,0.045096460208,507
3,0|2|1,0,4,0.35,oracle_advantage,200,0,0,0.430463109375,800
3,0|2|1,0,4,0.35,oracle_advantage,200,1,0,0.215316592634,494
3,0|2|1,0,4,0.35,oracle_advantage,200,2,0,0,339
3,0|2|1,0,4,0.35,batch_centered_broadcast,200,0,0.043875,0.709444444444,800
3,0|2|1,0,4,0.35,batch_centered_broadcast,200,1,0.534210526316,0.406541111421,494
3,0|2|1,0,4,0.35,batch_centered_broadcast,200,2,0.195673549656,0.196716778386,339
3,0|2|1,0,4,0.35,turn_loo,200,0,0.043875,0.709444444444,800
3,0|2|1,0,4,0.35,turn_loo,200,1,0.113157894737,0.442575867677,494
3,0|2|1,0,4,0.35,turn_loo,200,2,0.194690265487,0.156785966011,339
3,0|2|1,0,4,0.5,oracle_advantage,200,0,0,0.56199375,800
3,0|2|1,0,4,0.5,oracle_advantage,200,1,0,0.243616484217,388
3,0|2|1,0,4,0.5,oracle_advantage,200,2,0,0,225
3,0|2|1,0,4,0.5,batch_centered_broadcast,200,0,0.0225,0.813888888889,800
3,0|2|1,0,4,0.5,batch_centered_broadcast,200,1,0.801546391753,0.45974894014,388
3,0|2|1,0,4,0.5,batch_centered_broadcast,200,2,0.318518518519,0.232866941015,225
3,0|2|1,0,4,0.5,turn_loo,200,0,0.0225,0.813888888889,800
3,0|2|1,0,4,0.5,turn_loo,200,1,0.291237113402,0.622288352759,388
3,0|2|1,0,4,0.5,turn_loo,200,2,0.364444444444,0.231624691358,225
3,0|2|1,0,4,0.65,oracle_advantage,200,0,0,0.6152169375,800
3,0|2|1,0,4,0.65,oracle_advantage,200,1,0,0.234824616677,276
3,0|2|1,0,4,0.65,oracle_advantage,200,2,0,0,104
3,0|2|1,0,4,0.65,batch_centered_broadcast,200,0,0.00825,0.904444444444,800
3,0|2|1,0,4,0.65,batch_centered_broadcast,200,1,1.10531400966,0.388764906999,276
3,0|2|1,0,4,0.65,batch_centered_broadcast,200,2,0.50641025641,0.207223865878,104
3,0|2|1,0,4,0.65,turn_loo,200,0,0.00825,0.904444444444,800
3,0|2|1,0,4,0.65,turn_loo,200,1,0.439855072464,0.808058531121,276
3,0|2|1,0,4,0.65,turn_loo,200,2,0.701923076923,0.209227071006,104
3,0|2|1,0,4,0.8,oracle_advantage,200,0,0,0.5491344375,800
3,0|2|1,0,4,0.8,oracle_advantage,200,1,0,0.174613251362,173
3,0|2|1,0,4,0.8,oracle_advantage,200,2,0,0,39
3,0|2|1,0,4,0.8,batch_centered_broadcast,200,0,-0.02925,0.752777777778,800
3,0|2|1,0,4,0.8,batch_centered_broadcast,200,1,1.39730250482,0.373595286623,173
3,0|2|1,0,4,0.8,batch_centered_broadcast,200,2,0.589743589744,0.247644093798,39
3,0|2|1,0,4,0.8,turn_loo,200,0,-0.02925,0.752777777778,800
3,0|2|1,0,4,0.8,turn_loo,200,1,0.846242774566,1.01573910106,173
3,0|2|1,0,4,0.8,turn_loo,200,2,0.846153846154,0.130177514793,39
3,0|2|1,0,8,0.2,oracle_advantage,200,0,0,0.247104,1600
3,0|2|1,0,8,0.2,oracle_advantage,200,1,0,0.159711307322,1248
3,0|2|1,0,8,0.2,oracle_advantage,200,2,0,0,999
3,0|2|1,0,8,0.2,batch_centered_broadcast,200,0,0.024,0.42112244898,1600
3,0|2|1,0,8,0.2,batch_centered_broadcast,200,1,0.265361721612,0.207212492369,1248
3,0|2|1,0,8,0.2,batch_centered_broadcast,200,2,0.0716430716431,0.056010045714,999
3,0|2|1,0,8,0.2,turn_loo,200,0,0.024,0.42112244898,1600
3,0|2|1,0,8,0.2,turn_loo,200,1,0.000480769230769,0.183519926667,1248
3,0|2|1,0,8,0.2,turn_loo,200,2,0.001001001001,0.000999998997997,999
3,0|2|1,0,8,0.35,oracle_advantage,200,0,0,0.4271484375,1600
3,0|2|1,0,8,0.35,oracle_advantage,200,1,0,0.2176,1000
3,0|2|1,0,8,0.35,oracle_advantage,200,2,0,0,680
3,0|2|1,0,8,0.35,batch_centered_broadcast,200,0,0.03375,0.622653061224,1600
3,0|2|1,0,8,0.35,batch_centered_broadcast,200,1,0.526142857143,0.29080144898,1000
3,0|2|1,0,8,0.35,batch_centered_broadcast,200,2,0.17731092437,0.0758837652708,680
3,0|2|1,0,8,0.35,turn_loo,200,0,0.03375,0.622653061224,1600
3,0|2|1,0,8,0.35,turn_loo,200,1,0.032,0.278026498866,1000
3,0|2|1,0,8,0.35,turn_loo,200,2,0.0220588235294,0.0215722318339,680
3,0|2|1,0,8,0.5,oracle_advantage,200,0,0,0.561760839844,1600
3,0|2|1,0,8,0.5,oracle_advantage,200,1,0,0.248727796367,771
3,0|2|1,0,8,0.5,oracle_advantage,200,2,0,0,413
3,0|2|1,0,8,0.5,batch_centered_broadcast,200,0,0.0271875,0.739285714286,1600
3,0|2|1,0,8,0.5,batch_centered_broadcast,200,1,0.789605336298,0.318870319909,771
3,0|2|1,0,8,0.5,batch_centered_broadcast,200,2,0.308889657558,0.0950798414096,413
3,0|2|1,0,8,0.5,turn_loo,200,0,0.0271875,0.739285714286,1600
3,0|2|1,0,8,0.5,turn_loo,200,1,0.0525291828794,0.352336393912,771
3,0|2|1,0,8,0.5,turn_loo,200,2,0.121065375303,0.106408550205,413
3,0|2|1,0,8,0.65,oracle_advantage,200,0,0,0.618343558594,1600
3,0|2|1,0,8,0.65,oracle_advantage,200,1,0,0.232412867255,558
3,0|2|1,0,8,0.65,oracle_advantage,200,2,0,0,205
3,0|2|1,0,8,0.65,batch_centered_broadcast,200,0,0.0020625,0.777040816327,1600
3,0|2|1,0,8,0.65,batch_centered_broadcast,200,1,1.07959549411,0.30170351179,558
3,0|2|1,0,8,0.65,batch_centered_broadcast,200,2,0.475958188153,0.108854544792,205
3,0|2|1,0,8,0.65,turn_loo,200,0,0.0020625,0.777040816327,1600
3,0|2|1,0,8,0.65,turn_loo,200,1,0.108781362007,0.440123135623,558
3,0|2|1,0,8,0.65,turn_loo,200,2,0.365853658537,0.232004759072,205
3,0|2|1,0,8,0.8,oracle_advantage,200,0,0,0.537516,1600
3,0|2|1,0,8,0.8,oracle_advantage,200,1,0,0.17825255102,336
3,0|2|1,0,8,0.8,oracle_advantage,200,2,0,0,78
3,0|2|1,0,8,0.8,batch_centered_broadcast,200,0,-0.018,0.634897959184,1600
3,0|2|1,0,8,0.8,batch_centered_broadcast,200,1,1.42797619048,0.255184290978,336
3,0|2|1,0,8,0.8,batch_centered_broadcast,200,2,0.630036630037,0.0855237558534,78
3,0|2|1,0,8,0.8,turn_loo,200,0,-0.018,0.634897959184,1600
3,0|2|1,0,8,0.8,turn_loo,200,1,0.38630952381,0.756965112434,336
3,0|2|1,0,8,0.8,turn_loo,200,2,0.628205128205,0.233563445102,78
3,0|2|1,0,32,0.2,oracle_advantage,200,0,0,0.234684,6400
3,0|2|1,0,32,0.2,oracle_advantage,200,1,0,0.16051812008,5088
3,0|2|1,0,32,0.2,oracle_advantage,200,2,0,0,4066
3,0|2|1,0,32,0.2,batch_centered_broadcast,200,0,0.006,0.375109261186,6400
3,0|2|1,0,32,0.2,batch_centered_broadcast,200,1,0.245641864476,0.172589445528,5088
3,0|2|1,0,32,0.2,batch_centered_broadcast,200,2,0.044951842978,0.0109136778504,4066
3,0|2|1,0,32,0.2,turn_loo,200,0,0.006,0.375109261186,6400
3,0|2|1,0,32,0.2,turn_loo,200,1,-0.000864779874214,0.167504013042,5088
3,0|2|1,0,32,0.2,turn_loo,200,2,0,0,4066
3,0|2|1,0,32,0.35,oracle_advantage,200,0,0,0.419102206787,6400
3,0|2|1,0,32,0.35,oracle_advantage,200,1,0,0.22660724365,4106
3,0|2|1,0,32,0.35,oracle_advantage,200,2,0,0,2681
3,0|2|1,0,32,0.35,batch_centered_broadcast,200,0,0.011390625,0.583033298647,6400
3,0|2|1,0,32,0.35,batch_centered_broadcast,200,1,0.488027748535,0.243278465123,4106
3,0|2|1,0,32,0.35,batch_centered_broadcast,200,2,0.137514889726,0.0165156555438,2681
3,0|2|1,0,32,0.35,turn_loo,200,0,0.011390625,0.583033298647,6400
3,0|2|1,0,32,0.35,turn_loo,200,1,0.00294690696542,0.237611896801,4106
3,0|2|1,0,32,0.35,turn_loo,200,2,0,0,2681
3,0|2|1,0,32,0.5,oracle_advantage,200,0,0,0.562493353271,6400
3,0|2|1,0,32,0.5,oracle_advantage,200,1,0,0.249989158995,3189
3,0|2|1,0,32,0.5,oracle_advantage,200,2,0,0,1605
3,0|2|1,0,32,0.5,batch_centered_broadcast,200,0,0.002578125,0.707039542144,6400
3,0|2|1,0,32,0.5,batch_centered_broadcast,200,1,0.754827582719,0.271449037194,3189
3,0|2|1,0,32,0.5,batch_centered_broadcast,200,2,0.255230630087,0.021893480042,1605
3,0|2|1,0,32,0.5,turn_loo,200,0,0.002578125,0.707039542144,6400
3,0|2|1,0,32,0.5,turn_loo,200,1,0.0032925682032,0.266921908587,3189
3,0|2|1,0,32,0.5,turn_loo,200,2,0,0,1605
3,0|2|1,0,32,0.65,oracle_advantage,200,0,0,0.617050105225,6400
3,0|2|1,0,32,0.65,oracle_advantage,200,1,0,0.224474832722,2222
3,0|2|1,0,32,0.65,oracle_advantage,200,2,0,0,756
3,0|2|1,0,32,0.65,batch_centered_broadcast,200,0,0.004640625,0.726701352758,6400
